"source","entry","year"
"alabama","Bullock County (1866) named for secessionist politician and CSA Col. Edward Bullock",1866
"alabama","City of Clanton (1866) seat of Chilton County named for CSA Brig. Gen. James H. Clanton",1866
"alabama","Cleburne County (1866) named for CSA Maj. Gen. Patrick Cleburne",1866
"alabama","Lee County (1866) named for Robert E. Lee.",1866
"alabama","Hale County (1867) named for CSA Lt. Col. Stephen F. Hale; also a member of the Provisional Confederate States Congress",1867
"alabama","Chilton County (1868) named for William Parish Chilton, judge and member of the Confederate Provisional Congress",1868
"alabama","Mobile: Confederate Rest and Monument, Magnolia Cemetery (1874)[83]",1874
"alabama","Confederate Dead Monument, Gainesville Cemetery (1876) Ladies Memorial Association of Gainesville[78]",1876
"alabama","Confederate Memorial Circle (1878) Confederate Memorial Association[61]",1878
"alabama","Camden: Confederate Monument (1880) Ladies Memorial and Wilcox Monumental Associations, Wilcox County, Alabama[78]",1880
"alabama","Tuscaloosa: Confederate Monument, Greenwood Cemetery (1880) by the Ladies Memorial Association[85]",1880
"alabama","Auburn: Auburn Guard Monument, Pine Hill Cemetery (1893) Ladies Memorial Association, forerunner of UDC[16]",1893
"alabama","Union Springs: Confederate Monument, Old City Cemetery (The Confederate Cemetery) (1893) Ladies Memorial Association[88]",1893
"alabama","Alabama State Flag (1895) The Alabama Department of Archives and History found in 1915 that the flag was meant to ""preserve in permanent form some of the more distinctive features of the Confederate battle flag, particularly the St. Andrew's cross.""[11] According to historian John M. Coski, the adoption of Alabama's flag coincided with the rise of Jim Crow laws and segregation,[12] as other former Confederate slave states, such as Mississippi and Florida, also adopted new state flags based on Confederate designs around the same time when those states instituted Jim Crow segregation laws themselves:[12]",1895
"alabama","Boligee: Confederate Monument, Bethsalem Cemetery (1896) Ladies Memorial Association[78]",1896
"alabama","Jefferson Davis Presidential Star, marble portico (1897).[8] ""Placed by the Sophie Bibb Chapter Daughters of the Confederacy on the Spot where Jefferson Davis Stood when Inaugurated President of the C.S.A. Feb. 18, 1861""[9]",1897
"alabama","Confederate Memorial Monument, also known as the ""Monument to Confederate Soldiers and Sailors"" (1898).[6] On June 24, 2015, in the wake of the Charleston church shooting on June 17, 2015, on the order of Governor Robert J. Bentley, the four Confederate flags, and their poles, were removed.[7]",1898
"alabama","Statue of Admiral Raphael Semmes, on Government Street near the Bankhead Tunnel (1900) by SCV, Raphael Semmes Camp 11[52] Removed June 5, 2020.",1900
"alabama","Florence: Confederate Monument, Lauderdale County Courthouse (1903) Ladies Memorial Association.[24]",1903
"alabama","Greenville: Butler County Confederate Memorial, ""Our Confederate Dead"", at Confederate Park (1903) by UDC of Butler County, Alabama, Father Ryan Chapter[44]",1903
"alabama","Greensboro: Confederate Monument, Hale County Courthouse (1904) Ladies Memorial Association of Greensboro.",1904
"alabama","Anniston: Major John Pelham Monument, Quintard Avenue (1905) through the efforts of Clarence J. Owens, president of Anniston College for Young Ladies.[31] Removed in 2020.[32]",1905
"alabama","Eufaula: Confederate Monument (1905) by UDC, Barbour County Chapter[39]",1905
"alabama","Huntsville: Confederate Soldier Memorial, erected near the Madison County Courthouse (1905) by UDC.[46] Moved to Maple Hill Cemetery in 2020.[47][48]",1905
"alabama","Jacksonville: The Gallant Pelham Statue, Jacksonville City Cemetery (1905) by UDC, John H. Forney Chapter[49]",1905
"alabama","Birmingham: Confederate Monument, Elmwood Cemetery (1906), UCV, Camp Hardee[16]",1906
"alabama","Defense of Selma Memorial (1907) by UDC[61][65]",1907
"alabama","Emma Sansom and Nathan Bedford Forrest Monument (1907) by UDC, Gadsden Chapter.[42]",1907
"alabama","Jasper: Confederate Monument, Walker County Courthouse (1907) Jasper County Chapter 925 by UDC.[25]",1907
"alabama","Confederate Monument, City Hall Square (1908) by UDC[61]",1908
"alabama","Livingston: Confederate Monument, Sumter County Courthouse (1908) by UDC, Sumter Chapter.[26]",1908
"alabama","Robert E. Lee statue, Robert E. Lee High School (1908)[55]",1908
"alabama","Troy: ""Comrades"" Confederate Monument (1908) Pike Monumental Association, UCV, and UDC of Pike County, Alabama[75]",1908
"alabama","Athens: Limestone County Confederate Soldiers Memorial, Athens City Cemetery (1909) by UDC, Joseph E. Johnston Chapter",1909
"alabama","Clayton: Confederate Monument (1909); UDC monument at Barbour County Courthouse Square.[21]",1909
"alabama","Jacksonville: Confederate Monument, Jacksonville Town Square (1909). Bears a quote from Jefferson Davis: ""Let none of the survivors of these men offer in their behalf the penitential plea, 'They believed they were right.' Be it ours to transmit to posterity our unequivocal confidence in the righteousness of the cause for which these men died.""[49]",1909
"alabama","Centreville: Confederate Monument, Bibb County Courthouse (1910) by UDC, Leonard Calloway Pratt Chapter No. 1056.[20]",1910
"alabama","Confederate Monument (1910). The statue was toppled on July 16, 2016 when a policeman accidentally crashed his patrol car into the monument; the statue fell from its pedestal and was heavily damaged. In 2017, the Demopolis city council voted 3–2 to move the damaged Confederate statue to a local museum and to install a new obelisk memorial that honors both the Union and the Confederate soldiers.[36][37]",1910
"alabama","Greenville: Confederate Park (1910)",1910
"alabama","Ozark: Dale County Confederate Soldiers Monument (1910) Stonewall Jackson Chapter by UDC No. 667 of Dale County, Alabama",1910
"alabama","Sidney Lanier High School (1910)",1910
"alabama","Opelika: Confederate Monument (1911) by UDC, Robert E. Lee Chapter[57]",1911
"alabama","Tuscumbia: Confederate Veterans Monument, Colbert County Courthouse (1911) by UDC, Tuscumbia Chapter.[30]",1911
"alabama","Fort Payne: Confederate Monument (1913) by UDC and SCV of DeKalb County, Alabama[41]",1913
"alabama","Millbrook: Robinson Springs Camp Confederate Monument (1913) by UCV Camp No. 396, Elmore County, Alabama[51]",1913
